equipment_id,equipment_type,room_id,room_type,installation_date,age_months,week_of_year,is_exam_period,academic_usage_multiplier,daily_usage_hours,total_usage_hours,last_maintenance_days,maintenance_count,degradation_score,room_temperature,dust_factor,humidity,operating_temperature,power_consumption,performance_score,vibration_level,dust_accumulation,humidity_level,failure_probability,failure_type,maintenance_urgency,days_to_failure,equipment_status
A1036,air_conditioner,SEMINAR784,seminar_room,2020-01-11,45,38,False,0.2,0.49,525.23,149,7,0.325,26.26,0.8,0.8,39.19,2280.96,64.35,17.93,26.02,80.0,0.43,refrigerant_leak,high,51,operational
P1037,projector,LAB665,lab,2023-07-17,16,45,False,0.2,1.87,719.69,12,2,0.153,31.75,1.5,0.4,40.01,307.18,80.89,11.02,23.0,40.0,0.128,lamp_burnout,low,78,operational
A1038,air_conditioner,CLASSROOM415,classroom,2022-10-11,28,5,False,1.0,2.78,1866.38,41,4,0.225,27.56,2.0,0.3,38.68,2037.19,74.14,12.01,45.0,30.0,0.304,thermostat_malfunction,medium,62,operational
A1039,air_conditioner,CLASSROOM549,classroom,2020-12-08,56,29,False,1.0,10.77,14470.33,251,9,0.902,26.27,0.8,0.8,44.78,2478.29,9.73,54.96,72.14,80.0,0.661,compressor_failure,high,30,at_risk
A1040,air_conditioner,CLASSROOM953,classroom,2022-08-11,13,36,True,1.0,2.64,822.16,105,2,0.151,28.49,0.8,0.8,32.2,2202.9,84.69,16.03,12.06,80.0,0.36,refrigerant_leak,medium,57,operational
A1041,air_conditioner,LECTURE150,lecture_hall,2022-08-15,13,36,True,1.0,4.07,1270.55,288,2,0.267,26.28,0.8,0.8,35.18,1953.96,71.43,18.13,21.39,80.0,0.507,filter_clog,high,44,at_risk
P1042,projector,SEMINAR335,seminar_room,2022-01-13,30,27,False,1.0,10.77,7751.91,112,5,0.774,28.88,0.8,0.8,60.98,392.26,22.45,44.89,61.96,80.0,0.61,fan_failure,high,35,at_risk
A1043,air_conditioner,CLASSROOM434,classroom,2021-07-31,34,20,False,0.1,0.55,447.38,166,5,0.277,28.71,0.8,0.8,41.14,2078.75,70.56,20.83,22.17,80.0,0.411,filter_clog,high,53,operational
A1044,air_conditioner,SEMINAR884,seminar_room,2022-07-13,20,10,False,1.0,6.59,3163.85,34,3,0.224,29.72,1.5,0.4,38.08,2066.97,75.77,15.82,33.65,40.0,0.284,electrical_fault,medium,64,operational
A1045,air_conditioner,CLASSROOM459,classroom,2021-08-09,25,35,True,1.0,10.97,6580.73,195,4,0.453,29.09,0.8,0.8,47.92,2317.93,52.61,30.85,36.22,80.0,0.581,refrigerant_leak,high,37,at_risk
P1046,projector,LECTURE937,lecture_hall,2023-10-01,5,9,False,1.0,6.61,792.93,46,1,0.142,28.19,1.5,0.4,47.47,331.53,84.19,7.93,21.33,40.0,0.357,fan_failure,medium,57,operational
P1047,podium,LECTURE125,lecture_hall,2024-03-15,8,45,False,0.2,1.9,364.13,253,1,0.258,31.92,1.5,0.4,30.9,175.33,71.35,20.51,38.73,40.0,0.403,power_supply_issue,high,53,operational
A1048,air_conditioner,LECTURE798,lecture_hall,2020-07-09,51,38,False,0.2,1.83,2235.88,111,8,0.391,31.07,0.8,0.8,37.55,2058.12,60.08,21.38,31.3,80.0,0.456,electrical_fault,high,48,operational
P1049,podium,LECTURE225,lecture_hall,2022-09-12,17,5,False,1.0,5.43,2215.14,25,2,0.217,30.07,2.0,0.3,32.35,159.7,74.76,16.2,43.32,30.0,0.291,power_supply_issue,medium,63,operational
A1050,air_conditioner,CLASSROOM694,classroom,2020-09-05,41,3,False,1.0,5.37,5288.48,180,6,0.481,29.88,2.0,0.3,39.61,2106.48,49.67,26.52,96.26,30.0,0.493,compressor_failure,high,45,operational
P1051,projector,LECTURE706,lecture_hall,2019-03-25,55,39,False,0.2,2.08,2751.71,243,9,0.704,26.11,0.8,0.8,55.4,399.53,29.42,40.98,56.34,80.0,0.582,color_degradation,high,37,at_risk
P1052,projector,LAB705,lab,2021-01-23,38,10,False,1.0,8.69,7922.03,194,6,0.89,29.34,1.5,0.4,63.17,356.31,10.63,48.75,133.5,40.0,0.656,overheating,high,30,at_risk
P1053,projector,LECTURE189,lecture_hall,2020-08-26,38,41,False,0.2,1.56,1424.98,139,6,0.463,31.59,0.8,0.8,44.93,348.1,51.99,27.7,37.06,80.0,0.385,connectivity_loss,medium,55,operational
A1054,air_conditioner,LECTURE267,lecture_hall,2022-03-01,20,42,False,0.2,0.91,436.46,101,3,0.171,26.02,0.8,0.8,34.26,2226.14,79.23,17.04,13.65,80.0,0.268,filter_clog,medium,65,operational
A1055,air_conditioner,LAB558,lab,2022-05-25,34,11,False,1.0,3.81,3110.86,35,5,0.293,31.56,1.5,0.4,38.58,1979.23,69.91,22.94,43.97,40.0,0.314,filter_clog,medium,61,operational
P1056,podium,SEMINAR264,seminar_room,2023-12-28,19,29,False,1.0,8.65,3945.3,62,3,0.344,28.15,0.8,0.8,43.54,163.46,63.56,21.82,27.51,80.0,0.638,speaker_distortion,high,32,at_risk
A1057,air_conditioner,CLASSROOM764,classroom,2022-06-16,33,9,False,1.0,5.91,4684.54,104,5,0.379,27.37,1.5,0.4,40.23,2196.86,60.04,26.25,56.84,40.0,0.452,filter_clog,high,49,operational
P1058,projector,SEMINAR388,seminar_room,2021-01-19,39,14,False,1.0,7.73,7236.69,157,6,0.869,26.91,1.5,0.4,59.26,342.96,12.77,51.1,130.42,40.0,0.648,color_degradation,high,31,at_risk
P1059,projector,SEMINAR258,seminar_room,2021-03-30,45,50,False,0.2,0.65,707.38,184,7,0.484,29.01,2.0,0.3,46.49,342.62,50.08,31.92,96.79,30.0,0.494,lamp_burnout,high,45,operational
A1060,air_conditioner,CLASSROOM893,classroom,2024-05-18,5,42,False,0.2,2.05,246.43,254,1,0.174,31.45,0.8,0.8,33.38,2292.87,79.07,14.58,13.95,80.0,0.27,electrical_fault,medium,65,operational
A1061,air_conditioner,LECTURE927,lecture_hall,2022-09-16,12,37,False,0.2,0.6,174.07,133,2,0.14,31.53,0.8,0.8,30.02,1939.01,84.21,13.05,11.18,80.0,0.256,electrical_fault,medium,66,operational
A1062,air_conditioner,LAB825,lab,2024-05-14,1,24,False,1.0,3.13,75.18,110,1,0.069,27.12,0.8,0.8,34.54,1929.88,91.31,7.22,5.49,80.0,0.227,filter_clog,medium,69,operational
P1063,projector,SEMINAR765,seminar_room,2019-09-20,52,52,False,0.2,1.47,1840.54,75,8,0.497,31.54,2.0,0.3,46.14,343.38,50.12,30.71,99.34,30.0,0.499,lamp_burnout,high,45,operational
P1064,podium,LECTURE124,lecture_hall,2024-07-30,6,4,False,1.0,2.34,336.79,161,1,0.181,28.17,2.0,0.3,28.44,172.73,78.41,13.2,36.2,30.0,0.272,microphone_failure,medium,65,operational
P1065,podium,CLASSROOM868,classroom,2022-09-18,30,10,False,1.0,9.5,6839.72,211,5,0.668,28.1,1.5,0.4,43.65,184.55,32.18,41.76,100.17,40.0,0.767,power_supply_issue,critical,20,at_risk
P1066,projector,SEMINAR293,seminar_room,2021-11-21,28,10,False,1.0,6.81,4576.91,222,4,0.721,29.36,1.5,0.4,53.63,397.49,26.99,38.78,108.21,40.0,0.589,overheating,high,37,at_risk
A1067,air_conditioner,LECTURE575,lecture_hall,2024-07-02,7,5,False,1.0,8.59,1442.99,247,1,0.22,27.52,2.0,0.3,36.91,2134.54,76.39,14.41,44.06,30.0,0.388,electrical_fault,medium,55,operational
P1068,podium,CLASSROOM363,classroom,2021-07-18,35,22,False,1.0,4.43,3722.65,78,5,0.426,29.62,0.8,0.8,37.6,163.22,54.77,27.64,34.09,80.0,0.47,control_panel_malfunction,high,47,operational
P1069,podium,LECTURE647,lecture_hall,2023-04-22,18,41,False,0.2,2.19,944.07,197,3,0.301,28.05,0.8,0.8,26.82,159.63,68.43,17.75,24.11,80.0,0.321,control_panel_malfunction,medium,61,operational
A1070,air_conditioner,CLASSROOM325,classroom,2021-10-21,44,23,False,1.0,4.2,4430.03,280,7,0.523,26.69,0.8,0.8,41.96,2166.82,46.45,31.29,41.86,80.0,0.509,filter_clog,high,44,at_risk
A1071,air_conditioner,CLASSROOM300,classroom,2021-04-09,43,42,False,0.2,1.24,1283.2,154,7,0.343,29.15,0.8,0.8,33.57,2105.54,62.44,26.31,27.47,80.0,0.337,compressor_failure,medium,59,operational
A1072,air_conditioner,LECTURE116,lecture_hall,2021-08-28,25,37,False,0.2,1.39,836.96,76,4,0.195,27.24,0.8,0.8,29.71,2159.63,79.14,11.51,15.61,80.0,0.278,thermostat_malfunction,medium,64,operational
A1073,air_conditioner,CLASSROOM733,classroom,2023-11-15,2,2,False,1.0,3.66,175.82,193,1,0.123,26.5,2.0,0.3,37.9,1968.23,85.01,9.04,24.62,30.0,0.349,refrigerant_leak,medium,58,operational
A1074,air_conditioner,LECTURE326,lecture_hall,2021-12-03,34,38,False,0.2,1.19,973.73,152,5,0.287,31.62,0.8,0.8,38.84,1977.27,69.51,20.31,22.95,80.0,0.415,refrigerant_leak,high,52,operational
P1075,podium,LECTURE812,lecture_hall,2023-05-11,17,40,False,0.2,1.23,500.04,61,2,0.161,30.13,0.8,0.8,24.74,149.26,83.16,16.04,12.87,80.0,0.264,control_panel_malfunction,medium,66,operational
P1076,projector,CLASSROOM374,classroom,2020-04-09,44,47,False,0.2,2.01,2127.69,17,7,0.416,31.7,1.5,0.4,47.74,362.63,57.6,28.88,62.43,40.0,0.361,color_degradation,medium,57,operational
A1077,air_conditioner,SEMINAR636,seminar_room,2022-03-27,25,16,True,1.0,8.47,5079.99,59,4,0.327,31.93,1.5,0.4,43.73,1993.96,66.3,25.61,49.07,40.0,0.495,compressor_failure,high,45,operational
A1078,air_conditioner,LAB881,lab,2020-04-17,53,34,False,1.0,9.31,11842.62,176,8,0.758,26.69,0.8,0.8,49.65,2236.01,23.59,43.1,60.6,80.0,0.603,electrical_fault,high,35,at_risk
A1079,air_conditioner,CLASSROOM719,classroom,2021-05-09,45,3,False,1.0,2.77,2991.09,293,7,0.487,29.18,2.0,0.3,40.61,2248.7,50.16,32.41,97.5,30.0,0.495,electrical_fault,high,45,operational
A1080,air_conditioner,SEMINAR260,seminar_room,2021-10-28,45,28,False,1.0,8.16,8811.32,227,7,0.645,31.22,0.8,0.8,41.85,2596.49,35.16,42.22,51.59,80.0,0.558,refrigerant_leak,high,39,at_risk
P1081,podium,CLASSROOM344,classroom,2022-05-05,16,35,True,1.0,10.74,4122.92,239,2,0.485,28.39,0.8,0.8,39.27,166.22,50.24,31.59,38.83,80.0,0.594,microphone_failure,high,36,at_risk
A1082,air_conditioner,LECTURE423,lecture_hall,2022-02-15,37,9,False,1.0,2.42,2149.79,193,6,0.364,31.46,1.5,0.4,32.44,2051.7,63.47,26.17,54.58,40.0,0.346,refrigerant_leak,medium,58,operational
A1083,air_conditioner,LAB418,lab,2022-10-07,24,39,False,0.2,1.33,768.85,226,4,0.271,27.0,0.8,0.8,38.33,2046.65,72.67,20.06,21.69,80.0,0.408,filter_clog,high,53,operational
A1084,air_conditioner,LECTURE325,lecture_hall,2021-08-07,41,51,False,0.2,0.77,760.51,259,6,0.374,30.96,2.0,0.3,36.77,2232.67,61.32,23.96,74.85,30.0,0.45,refrigerant_leak,high,49,operational
A1085,air_conditioner,CLASSROOM244,classroom,2024-09-22,3,51,False,0.2,2.03,146.28,269,1,0.169,27.34,2.0,0.3,35.75,2140.66,81.32,9.38,33.86,30.0,0.368,thermostat_malfunction,medium,56,operational
P1086,projector,LECTURE748,lecture_hall,2022-12-23,25,2,False,1.0,10.52,6313.16,170,4,0.814,30.86,2.0,0.3,60.83,366.42,18.03,43.29,162.78,30.0,0.626,connectivity_loss,high,33,at_risk
A1087,air_conditioner,LECTURE415,lecture_hall,2022-08-12,13,36,True,1.0,10.94,3414.78,81,2,0.224,26.37,0.8,0.8,46.52,2141.16,77.25,16.9,17.91,80.0,0.49,filter_clog,high,45,operational
A1088,air_conditioner,SEMINAR388,seminar_room,2022-11-16,24,45,False,0.2,1.99,1149.03,168,4,0.252,27.47,1.5,0.4,31.08,2038.57,74.57,13.64,37.75,40.0,0.301,filter_clog,medium,62,operational
P1089,projector,SEMINAR656,seminar_room,2023-08-04,23,26,False,1.0,2.05,1132.4,160,3,0.387,28.01,0.8,0.8,48.05,312.12,60.73,27.68,30.97,80.0,0.455,connectivity_loss,high,49,operational
P1090,projector,LECTURE145,lecture_hall,2019-09-18,49,39,False,0.2,1.52,1787.15,223,8,0.594,28.26,0.8,0.8,44.82,338.14,38.61,34.02,47.51,80.0,0.438,fan_failure,high,50,operational
P1091,projector,LECTURE136,lecture_hall,2024-06-22,4,42,False,0.2,0.75,71.76,242,1,0.226,31.68,0.8,0.8,41.06,337.7,76.27,16.03,18.08,80.0,0.29,lamp_burnout,medium,63,operational
P1092,projector,SEMINAR369,seminar_room,2019-10-11,47,34,False,1.0,11.69,13184.94,164,7,0.917,29.89,0.8,0.8,63.18,407.15,8.02,54.05,73.38,80.0,0.667,lamp_burnout,high,29,at_risk
P1093,projector,LECTURE837,lecture_hall,2024-06-15,4,41,False,0.2,1.25,120.23,39,1,0.073,29.16,0.8,0.8,45.07,294.24,91.92,11.4,5.87,80.0,0.329,overheating,medium,60,operational
P1094,projector,SEMINAR481,seminar_room,2022-01-22,28,19,False,0.1,0.93,625.81,84,4,0.285,28.39,0.8,0.8,42.71,351.36,68.7,16.41,22.84,80.0,0.314,lamp_burnout,medium,61,operational
A1095,air_conditioner,CLASSROOM370,classroom,2022-11-26,16,12,False,1.0,7.43,2854.01,60,2,0.208,27.11,1.5,0.4,43.49,2242.64,78.25,18.87,31.27,40.0,0.35,filter_clog,medium,58,operational
A1096,air_conditioner,LECTURE792,lecture_hall,2019-05-02,58,6,False,1.0,8.17,11367.77,46,9,0.694,28.77,2.0,0.3,45.51,2294.67,29.88,36.98,138.9,30.0,0.506,compressor_failure,high,44,at_risk
A1097,air_conditioner,CLASSROOM485,classroom,2023-12-19,8,33,False,1.0,5.1,979.89,205,1,0.187,26.9,0.8,0.8,39.7,2188.15,78.89,19.07,14.92,80.0,0.375,filter_clog,medium,56,operational
A1098,air_conditioner,SEMINAR201,seminar_room,2023-09-29,8,21,False,1.0,9.24,1774.63,179,1,0.199,26.63,0.8,0.8,42.91,2204.97,78.38,10.03,15.89,80.0,0.379,refrigerant_leak,medium,55,operational
A1099,air_conditioner,LECTURE688,lecture_hall,2023-02-10,26,14,False,1.0,5.97,3724.8,194,4,0.362,31.86,1.5,0.4,37.37,2302.83,63.24,18.51,54.29,40.0,0.445,filter_clog,high,49,operational
P1100,podium,LECTURE734,lecture_hall,2025-01-17,6,29,False,1.0,8.17,1175.91,223,1,0.275,29.25,0.8,0.8,38.8,172.16,70.14,21.88,21.97,80.0,0.41,microphone_failure,high,53,operational
P1101,podium,CLASSROOM413,classroom,2023-05-15,26,27,False,1.0,6.81,4248.84,127,4,0.448,29.16,0.8,0.8,41.08,155.93,52.58,24.88,35.86,80.0,0.679,microphone_failure,high,28,at_risk
P1102,podium,LECTURE666,lecture_hall,2020-11-22,45,31,False,1.0,3.82,4126.87,119,7,0.531,28.6,0.8,0.8,28.96,175.35,45.76,27.34,42.44,80.0,0.412,power_supply_issue,high,52,operational
P1103,projector,CLASSROOM306,classroom,2024-01-09,7,32,False,1.0,6.63,1113.21,213,1,0.328,30.36,0.8,0.8,55.26,324.59,65.02,20.1,26.22,80.0,0.431,fan_failure,high,51,operational
P1104,projector,SEMINAR707,seminar_room,2020-12-01,36,46,False,0.2,0.46,396.39,228,6,0.413,31.24,1.5,0.4,47.32,343.4,58.44,22.76,61.95,40.0,0.465,color_degradation,high,48,operational
A1105,air_conditioner,SEMINAR966,seminar_room,2021-03-08,36,8,False,1.0,11.09,9582.04,87,6,0.548,29.8,2.0,0.3,45.04,2334.52,43.9,28.08,109.55,30.0,0.519,refrigerant_leak,high,43,at_risk
P1106,projector,CLASSROOM113,classroom,2020-12-24,39,10,False,1.0,5.59,5234.42,130,6,0.776,26.57,1.5,0.4,56.07,396.29,21.32,44.67,116.35,40.0,0.61,overheating,high,35,at_risk
P1107,projector,LECTURE386,lecture_hall,2023-08-30,10,26,False,1.0,2.73,656.39,270,1,0.305,27.99,0.8,0.8,43.08,338.52,66.56,19.73,24.38,80.0,0.322,connectivity_loss,medium,61,operational
P1108,podium,LECTURE985,lecture_hall,2020-02-08,57,42,False,0.2,1.61,2203.95,175,9,0.541,29.98,0.8,0.8,34.97,177.32,45.59,29.11,43.28,80.0,0.516,microphone_failure,high,43,at_risk
P1109,projector,LECTURE610,lecture_hall,2023-02-13,20,40,False,0.2,0.5,241.63,1,3,0.121,26.73,0.8,0.8,42.62,337.89,84.87,11.13,9.7,80.0,0.054,no_failure,low,295,operational
A1110,air_conditioner,CLASSROOM341,classroom,2020-02-16,59,51,False,0.2,0.41,580.39,217,9,0.435,29.83,2.0,0.3,42.54,2255.9,55.57,23.14,86.98,30.0,0.474,compressor_failure,high,47,operational
P1111,projector,SEMINAR845,seminar_room,2023-11-18,8,29,False,1.0,11.7,2246.23,129,1,0.371,30.38,0.8,0.8,46.08,315.65,62.83,21.08,29.64,80.0,0.448,color_degradation,high,49,operational
P1112,podium,CLASSROOM513,classroom,2023-10-10,18,14,False,1.0,8.18,3533.1,136,3,0.38,31.19,1.5,0.4,40.6,181.09,60.76,28.41,57.0,40.0,0.652,control_panel_malfunction,high,31,at_risk
A1113,air_conditioner,CLASSROOM319,classroom,2023-02-22,6,34,False,1.0,5.18,746.08,161,1,0.144,28.44,0.8,0.8,39.67,2204.43,83.72,14.6,11.55,80.0,0.358,thermostat_malfunction,medium,57,operational
A1114,air_conditioner,CLASSROOM713,classroom,2025-01-07,6,27,False,1.0,11.01,1585.98,279,1,0.238,28.61,0.8,0.8,46.17,1930.92,73.64,15.56,19.03,80.0,0.395,refrigerant_leak,medium,54,operational
A1115,air_conditioner,CLASSROOM572,classroom,2020-05-25,49,23,False,1.0,7.46,8769.28,291,8,0.699,27.36,0.8,0.8,40.37,2469.44,29.6,41.14,55.92,80.0,0.58,refrigerant_leak,high,37,at_risk
P1116,projector,SEMINAR915,seminar_room,2023-11-03,6,18,False,0.1,1.11,160.45,221,1,0.243,28.05,0.8,0.8,46.27,324.07,74.18,19.82,19.47,80.0,0.397,fan_failure,medium,54,operational
A1117,air_conditioner,LAB120,lab,2020-12-01,43,24,False,1.0,2.08,2142.05,117,7,0.351,31.39,0.8,0.8,30.79,2399.66,61.81,26.91,28.11,80.0,0.341,refrigerant_leak,medium,59,operational
P1118,projector,CLASSROOM472,classroom,2020-03-29,46,2,False,1.0,5.07,5600.48,239,7,0.897,29.19,2.0,0.3,59.0,373.08,10.32,53.07,179.34,30.0,0.659,overheating,high,30,at_risk
P1119,projector,SEMINAR138,seminar_room,2024-07-21,7,7,False,1.0,4.95,832.07,241,1,0.304,29.4,2.0,0.3,45.3,357.7,67.77,23.28,60.87,30.0,0.422,connectivity_loss,high,52,operational
P1120,projector,CLASSROOM990,classroom,2020-08-29,55,10,False,1.0,8.38,11061.4,277,9,0.975,31.31,1.5,0.4,59.89,380.85,2.48,57.75,146.25,40.0,0.69,lamp_burnout,high,27,at_risk
P1121,projector,SEMINAR149,seminar_room,2022-03-09,19,39,False,0.2,2.1,958.67,167,3,0.36,30.01,0.8,0.8,40.52,340.68,62.2,23.89,28.84,80.0,0.344,lamp_burnout,medium,59,operational
